user,text,num_comments,num_retweets,num_views,timestamp
@mohamedaliali_,"Django tip: A perms variable is available by default in a Django template, meaning you can render the content based on the permissions: #django #python",0,1,0,2023-04-07T09:50:34.000Z
@ArdenWhalley,Imma say Monty Python,8,3,772,2023-04-03T16:49:18.000Z
@ZigsOnTheBid,"I asked GPT for help developing an app. After many hours of trial and error, I found a method that can handle developing a simple Python app. I'm going to share exactly how I prompt GPT to assist in building an app that I use within my trading in the thread below",4,21,14.2K,2023-04-04T15:46:29.000Z
@EyesLikeJay,"Day 24 of #100DaysOfCode I created a math game that helps you build your multiplication skills with python. And I made a counter with HTML, CSS, and JavaScript. I had fun styling this one. Here’s the link to it https://counter-jaynimi.vercel.app",0,4,426,2023-04-03T21:12:54.000Z
@scrumtuous,"Here's an actual video of me: Skating my way to 200K TechTwitter followers Trying to make it look like I know what I'm doing I get points for wearing old-school, four wheel roller-skates, right? Thank you for all the follows! #python #github",51,17,53.5K,2023-04-05T14:42:14.000Z
@yugiohtas,Monty Python irreparably ruined King Arthur’s reputation. No one can change my mind on that. People actually consider it a quote source more than the actual canon.,53,291,88.9K,2023-04-06T23:43:51.000Z
@python_spaces,Do you know you can create a superfast in minutes using AI with ChatGPT @10Web_io,1,9,"6,890",2023-04-06T13:11:22.000Z
@jeremyphoward,"Our new course, ""From Deep Learning Foundations to Stable Diffusion"", is finally done after 8 months of work!!! With >30 hours of video content (all free, no ads!), you'll learn how to create and train a Stable Diffusion model starting from pure Python",91,"1,009",601.8K,2023-04-05T00:29:55.000Z
@IamTheCyberChef,"SOC Analyst skills & certification roadmap Entry-Level Cert CompTIA Network+,Security+ Skills Linux, Python, Packet & Log Analysis, Active Directory Tools Splunk, Nessus, Nmap, IDS/IPS, Pfsense Intermediate Cert CompTIA CySA+, eJPT, BTL1 Get an e-Portfolio and apply for jobs",5,110,37.7K,2023-04-04T19:12:59.000Z
@TheArtsShelf,'MONTY PYTHON'S LIFE OF BRIAN' returns to UK cinemas this Easter weekend! MORE INFO https://wp.me/p2HOoN-TbN @montypython #MontyPython #LifeofBrian @JohnCleese @TerryGilliam @EricIdle @fetchpublicity #Easter #EasterWeekend,10,34,16.5K,2023-04-06T15:02:42.000Z
@GuyPlopsky,"Nice shot of an IAF F-15I (""238""), seen equipped with 3 different air-to-air missile types (Python 4/5, Sparrow & AMRAAM) in addition to an AAQ-13 navigation pod & Litening advanced targeting pod. Visible in the foreground are GBU-38 GPS-aided bombs with DSU-33 proximity sensors.",1,7,"2,326",2023-04-07T09:16:58.000Z
@mindjimmy,Introducing ChatArena - a Python library of multi-agent language game environments that facilitates communication and collaboration between multiple large language models (LLMs)! Check out our GitHub repo: https://github.com/chatarena/chatarena… #ChatArena #NLP #AI #LLM 1/8,13,160,136K,2023-04-05T15:13:50.000Z
@zia_tiffah,my favorite thing to discover yesterday (read horrifying) was that my friend in computer engineering wrote their Python test on paper. they wrote the code on paper.,45,159,88.5K,2023-04-04T10:10:05.000Z
@CourseGift,[NEW] #Udemy AWS Certified Machine Learning Specialty MLS-C01 [NEW 2023] Course https://couponos.me/coupon/aws-certified-machine-learning-specialty-mls/… #AWS #MachineLearning #MLS #BigData #Analytics #DataScience #AI #IoT #Python #PyTorch #TensorFlow #NLProc #Java #JavaScript #REactJS #CloudComputing #Serverless,0,2,88,2023-04-05T21:30:20.000Z
@JAlD3N,"british python programmers when they have to type ""__init__""",3,6,742,2023-04-03T17:53:28.000Z
@nicolasochem,One of my colleagues at @oxheadalpha improved my #tezos Python proto-cruncher and rewrote it in Rust : https://github.com/oxheadalpha/tz-proto-vanity… You can now find 8-char proto hashes such as `PtMumbai` overnight on a single laptop. Bring on the variants! Guide updated:,0,10,821,2023-04-06T18:49:43.000Z
@Suhail,"If you're strong at Python, TypeScript, and have been learning a lot of ML fundamentals but still ramping up, you may consider joining us to do Applied AI where you help prototype products at the intersection. A great way to ship real things and be forced to learn ML basics.",16,22,144.7K,2023-04-05T00:17:26.000Z
@kojo_wale,"Never get scared Me not fighting When the python want to bite me, me fight back",0,7,577,2023-04-06T19:19:23.000Z
@pastoral_dark,"‘… former, but UNDEFEATED, member for Aston …’ @AlanTudgeMP . Reminds me of a song from Monty Python’s Holy Grail:",1,5,"1,336",2023-04-07T00:19:08.000Z
@pseudnonymus,This is an inherently funny picture. It looks straight out of Monty Python,3,4,875,2023-04-05T16:46:32.000Z
@daansan_ml,What are the reasons for not using all variables in your predictive models? THREAD #MachineLearning #DataScience #Python #TimeSeries #AI #ML,3,6,"3,402",2023-04-06T13:37:46.000Z
@Cepp_Sandra,Show your boss you're smart by doing this on excel #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #Python #RStats #TensorFlow #JavaScript #ReactJS #CloudComputing #Serverless #DataScientist #Linux #Programming #Coding #100DaysofCode http://geni.us/Big-Book-Use-C…,0,1,276,2023-04-04T20:59:45.000Z
@python_spaces,Create Superfast websites in minutes using AI with ChatGPT @10Web_io,1,14,"8,854",2023-04-06T14:51:54.000Z
@MLRepositories,AIX360: Interpretability and explainability of data and machine learning models Lang: Python 1289 Author: @LFAI_Foundation #MachineLearning,1,5,573,2023-04-03T22:47:50.000Z
@ir0nstone,"Lovely little challenge - thanks to fsharp for the suggestion to do it in Python. I'm not sure why my C implementation failed, but oh well.",1,1,13,2023-04-07T09:52:38.000Z
@SearchFantasy,"New artwork for sale! - ""Painting Of A #Aiart #Aiartist #Aiartcommunity #Womenintech #Womeninstem #Python #Nft #Digitalart"" - https://fineartamerica.com/featured/18-painting-of-a-aiart-aiartist-aiartcommunity-womenintech-womeninstem-python-nft-digitalart-not-an-ai-guy.html… @fineartamerica",0,3,32,2023-04-06T20:22:17.000Z
@pyquantnews,Spend 30 minutes per day looking at the markets. Spend 30 minutes per day writing Python code. Spend 30 minutes per day Building in Public. The 30-30-30 method for learning Python for quant finance.,2,21,25.5K,2023-04-05T12:05:12.000Z
@MLRepositories,sklearn-investing: identify stocks that should outperform S&P 500 Lang: Python 2 #MachineLearning,0,2,279,2023-04-05T19:48:16.000Z
@RemyDeveloping,"Day 24 of #100DaysOfCode! Continued working on my little project to create an index card learning app. So far, I've created functions to add and delete cards using JSON files with #Python. #TechTwitter #100Devs",0,3,110,2023-04-06T21:59:00.000Z
@gp_pulipaka,"#AI Best: #Calculus and Linear Algebra for #MachineLearning! @DataSciConnect April 12th - 13th, 2023 #BigData #Analytics #DataScience #IoT #IIoT #Python #RStats #TensorFlow #JavaScript #ReactJS #Mathematics #Serverless #DataScientist #Linux #Programming #Coding #100DaysofCode…",1,8,"1,474",2023-04-07T01:57:14.000Z
Geert Baeke (@geertbaeke@hachyderm.io),"For some reason, .NET feels complicated and confusing to me. I can only compare with Go and Python. Is it me? (highly likely) Or did it get too complicated over all the years? What are your thoughts? #justasking",15,0,"2,826",2023-04-05T20:15:19.000Z
@MLRepositories,bindsnet: Simulation of spiking neural networks (SNNs) using PyTorch. Lang: Python 1220 #MachineLearning,0,2,271,2023-04-05T13:48:12.000Z
@MLRepositories,"spacy-transformers: Use pretrained transformers like BERT, XLNet and GPT-2 in spaCy Lang: Python 1221 Author: @explosion_ai #MachineLearning",0,1,140,2023-04-07T09:18:35.000Z
@PythonReed3D,happy vs dave day folks!yeeeah! woohoo!! my FUCKING AWEOSMOEME DNB BIRTHDAY ART #daveandbambi,0,1,57,2023-04-07T01:15:13.000Z
@monty_python9,It was supposed to be a photo,2,1,852,2023-04-06T20:18:17.000Z
@aitechtrend,Data Analysis for Finance: Choosing Between Python and Excel for CAGR https://aitechtrend.com/data-analysis-for-finance-choosing-between-python-and-excel-for-cagr/… #AI #MachineLearning #DeepLearning #ArtificialIntelligence #DataScience #neuralnetwork #quantumcomputing,0,0,114,2023-04-06T22:00:07.000Z
@DataSciencePost,Start thinking automation if you don't want to ear about it too many often Do you agree ? http://datasciencepost.com #data #bigdata #datascience #python #machinelearning #agile,0,0,14,2023-04-07T08:08:17.000Z
@SearchFantasy,"New artwork for sale! - ""Painting Of A #Aiart #Aiartist #Aiartcommunity #Womenintech #Womeninstem #Python #Nft #Digitalart"" - https://fineartamerica.com/featured/33-painting-of-a-aiart-aiartist-aiartcommunity-womenintech-womeninstem-python-nft-digitalart-not-an-ai-guy.html… @fineartamerica",1,0,16,2023-04-07T06:18:06.000Z
@SearchFantasy,"New artwork for sale! - ""Painting Of A #Aiart #Aiartist #Aiartcommunity #Womenintech #Womeninstem #Python #Nft #Digitalart"" - https://fineartamerica.com/featured/39-painting-of-a-aiart-aiartist-aiartcommunity-womenintech-womeninstem-python-nft-digitalart-not-an-ai-guy.html… @fineartamerica",2,0,21,2023-04-07T06:26:34.000Z
@brodaishola_,Linux - https://lnkd.in/g7KJBUYd More Linux - https://lnkd.in/gUK8PU4p Windows Server - https://lnkd.in/gWUTmN-5 More Windows Server- https://lnkd.in/gsWZQnwj Python - https://lnkd.in/g_NpsqEM CompTIA Security+ -,1,11,"2,262",2023-04-06T06:07:32.000Z
@SearchFantasy,"New artwork for sale! - ""An Octopus Wearing #Aiart #Aiartist #Aiartcommunity #Womenintech #Womeninstem #Python #Nft #Digitala"" - https://fineartamerica.com/featured/an-octopus-wearing-aiart-aiartist-aiartcommunity-womenintech-womeninstem-python-nft-digitala-not-an-ai-guy.html… @fineartamerica",1,1,25,2023-04-07T06:14:56.000Z
@SearchFantasy,"New artwork for sale! - ""A Beautiful Woman #Aiart #Aiartist #Aiartcommunity #Womenintech #Womeninstem #Python #Nft #Digitalar"" - https://fineartamerica.com/featured/a-beautiful-woman-aiart-aiartist-aiartcommunity-womenintech-womeninstem-python-nft-digitalar-not-an-ai-guy.html… @fineartamerica",2,0,19,2023-04-07T06:24:27.000Z
